Time,Last,Open,High,Low,Volume,Exchange Rate,CPI,GDP,Interest,Dow Jones,Hang Seng,Gold Price,Oil Price
19/06/2024,"1,283.00","1,284.14","1,270.66","1,279.79",727821787,"25,450.00",0.17,"2,727,565.00",2.890,"19,244.07","18,430.39","2,343.0",80.59
19/06/2024,"1,283.00","1,284.14","1,270.66","1,279.79",727821787,"25,450.00",0.17,"2,727,565.00",2.890,"19,244.07","18,430.39","2,343.0",80.59
18/06/2024,"1,279.39","1,286.52","1,278.38","1,279.50",597659348,"25,445.00",0.17,"2,727,565.00",2.907,"38,834.86","17,915.55","2,346.9",81.57
18/06/2024,"1,279.39","1,286.52","1,278.38","1,279.50",597659348,"25,445.00",0.17,"2,727,565.00",2.907,"38,834.86","17,915.55","2,346.9",81.57
17/06/2024,"1,282.08","1,283.10","1,272.54","1,274.77",741570820,"25,450.00",0.17,"2,727,565.00",2.903,"38,778.10","17,936.12","2,329.0",80.33
17/06/2024,"1,282.08","1,283.10","1,272.54","1,274.77",741570820,"25,450.00",0.17,"2,727,565.00",2.903,"38,778.10","17,936.12","2,329.0",80.33
14/06/2024,"1,303.37","1,305.02","1,279.91","1,279.91",964967623,"25,450.00",0.17,"2,727,565.00",2.901,"38,589.16","17,941.78","2,349.1",78.45
14/06/2024,"1,303.37","1,305.02","1,279.91","1,279.91",964967623,"25,450.00",0.17,"2,727,565.00",2.901,"38,589.16","17,941.78","2,349.1",78.45
13/06/2024,"1,305.69","1,306.01","1,297.60","1,301.51",782445017,"25,435.00",0.17,"2,727,565.00",2.907,"38,647.10","18,112.63","2,318.0",78.62
13/06/2024,"1,305.69","1,306.01","1,297.60","1,301.51",782445017,"25,435.00",0.17,"2,727,565.00",2.907,"38,647.10","18,112.63","2,318.0",78.62
12/06/2024,"1,285.01","1,301.35","1,281.71","1,300.19",731047219,"25,435.00",0.17,"2,727,565.00",2.932,"38,712.21","17,937.84","2,354.8",78.50
12/06/2024,"1,285.01","1,301.35","1,281.71","1,300.19",731047219,"25,435.00",0.17,"2,727,565.00",2.932,"38,712.21","17,937.84","2,354.8",78.50
11/06/2024,"1,295.03","1,296.41","1,279.47","1,284.41",815619047,"25,435.00",0.17,"2,727,565.00",2.939,"38,747.42","18,176.34","2,326.6",77.90
11/06/2024,"1,295.03","1,296.41","1,279.47","1,284.41",815619047,"25,435.00",0.17,"2,727,565.00",2.939,"38,747.42","18,176.34","2,326.6",77.90
10/06/2024,"1,292.67","1,297.39","1,287.44","1,290.67",742266776,"25,415.00",0.17,"2,727,565.00",2.929,"38,868.04","22,858.10","2,327.0",77.74
10/06/2024,"1,292.67","1,297.39","1,287.44","1,290.67",742266776,"25,415.00",0.17,"2,727,565.00",2.929,"38,868.04","22,858.10","2,327.0",77.74
07/06/2024,"1,289.05","1,293.03","1,283.13","1,287.58",566497622,"25,400.00",0.17,"2,727,565.00",2.908,"38,798.99","18,366.95","2,325.0",75.53
07/06/2024,"1,289.05","1,293.03","1,283.13","1,287.58",566497622,"25,400.00",0.17,"2,727,565.00",2.908,"38,798.99","18,366.95","2,325.0",75.53
06/06/2024,"1,288.79","1,292.02","1,278.40","1,283.56",751958815,"25,420.00",0.17,"2,727,565.00",2.916,"38,886.17","18,476.80","2,390.9",75.55
06/06/2024,"1,288.79","1,292.02","1,278.40","1,283.56",751958815,"25,420.00",0.17,"2,727,565.00",2.916,"38,886.17","18,476.80","2,390.9",75.55
05/06/2024,"1,287.12","1,293.93","1,284.35","1,284.35",769448301,"25,415.00",0.17,"2,727,565.00",2.914,"38,807.33","18,424.96","2,375.5",74.07
05/06/2024,"1,287.12","1,293.93","1,284.35","1,284.35",769448301,"25,415.00",0.17,"2,727,565.00",2.914,"38,807.33","18,424.96","2,375.5",74.07
04/06/2024,"1,285.51","1,289.31","1,281.98","1,283.52",743646628,"25,410.00",0.17,"2,727,565.00",2.911,"38,711.29","18,444.11","2,347.4",73.25
04/06/2024,"1,285.51","1,289.31","1,281.98","1,283.52",743646628,"25,410.00",0.17,"2,727,565.00",2.911,"38,711.29","18,444.11","2,347.4",73.25
03/06/2024,"1,271.65","1,284.48","1,271.65","1,280.00",881259000,"25,432.00",0.17,"2,727,565.00",2.929,"38,571.03","18,403.04","2,369.3",74.22
03/06/2024,"1,271.65","1,284.48","1,271.65","1,280.00",881259000,"25,432.00",0.17,"2,727,565.00",2.929,"38,571.03","18,403.04","2,369.3",74.22
31/05/2024,"1,268.37","1,271.07","1,261.43","1,261.72",578120347,"25,440.00",0.05,"2,727,565.00",2.948,"38,686.32","18,079.61","2,345.8",76.99
31/05/2024,"1,268.37","1,271.07","1,261.43","1,261.72",578120347,"25,440.00",0.05,"2,727,565.00",2.948,"38,686.32","18,079.61","2,345.8",76.99
30/05/2024,"1,264.45","1,269.07","1,251.80","1,266.32",903973666,"25,450.00",0.05,"2,727,565.00",2.967,"38,111.48","18,230.19","2,366.5",77.91
30/05/2024,"1,264.45","1,269.07","1,251.80","1,266.32",903973666,"25,450.00",0.05,"2,727,565.00",2.967,"38,111.48","18,230.19","2,366.5",77.91
29/05/2024,"1,284.74","1,285.63","1,271.60","1,272.64",937265939,"25,450.00",0.05,"2,727,565.00",2.955,"38,441.54","18,477.01","2,352.0",79.23
29/05/2024,"1,284.74","1,285.63","1,271.60","1,272.64",937265939,"25,450.00",0.05,"2,727,565.00",2.955,"38,441.54","18,477.01","2,352.0",79.23
28/05/2024,"1,272.23","1,281.73","1,269.37","1,281.73",710243600,"25,448.00",0.05,"2,727,565.00",2.988,"38,852.86","18,821.16","2,367.3",79.83
28/05/2024,"1,272.23","1,281.73","1,269.37","1,281.73",710243600,"25,448.00",0.05,"2,727,565.00",2.988,"38,852.86","18,821.16","2,367.3",79.83
27/05/2024,"1,263.46","1,267.68","1,257.27","1,267.68",564137500,"25,445.00",0.05,"2,727,565.00",3.014,"19,244.07","18,827.35","2,356.5",78.65
27/05/2024,"1,263.46","1,267.68","1,257.27","1,267.68",564137500,"25,445.00",0.05,"2,727,565.00",3.014,"19,244.07","18,827.35","2,356.5",78.65
24/05/2024,"1,276.68","1,285.07","1,250.28","1,261.93",1179638521,"25,465.00",0.05,"2,727,565.00",3.035,"39,069.59","18,608.94","2,345.4",77.72
24/05/2024,"1,276.68","1,285.07","1,250.28","1,261.93",1179638521,"25,465.00",0.05,"2,727,565.00",3.035,"39,069.59","18,608.94","2,345.4",77.72
23/05/2024,"1,265.60","1,281.03","1,262.29","1,281.03",788341559,"25,469.00",0.05,"2,727,565.00",3.027,"39,065.26","18,868.71","2,348.2",76.87
