Time,Last,Open,High,Low,Volume,Exchange Rate,CPI,GDP,Interest,Dow Jones,Hang Seng,Gold Price,Oil Price
13/03/2019,202.17,204.01,200.96,201.08,34562900,"23,204.00",-0.21,"1,116,680.00",4.786,"25,702.89","28,807.45","1,312.5",58.26
12/03/2019,200.64,201.98,199.07,201.98,30127700,"23,201.00",-0.21,"1,116,680.00",4.791,"25,554.66","28,920.87","1,301.2",56.87
11/03/2019,199.24,200.64,197.54,199.02,16469800,"23,198.50",-0.21,"1,116,680.00",4.795,"25,650.88","28,503.30","1,294.3",56.79
08/03/2019,200.96,201.27,198.89,199.14,20668200,"23,198.50",-0.21,"1,116,680.00",4.783,"25,450.24","28,228.42","1,302.7",56.07
07/03/2019,200.89,203.3,200.65,201.01,40035200,"23,199.50",-0.21,"1,116,680.00",4.786,"25,473.23","28,779.45","1,289.4",56.66
06/03/2019,200.63,201.64,199.35,200.79,24627000,"23,201.50",-0.21,"1,116,680.00",4.778,"25,673.46","29,037.60","1,290.8",56.22
05/03/2019,200.81,203.1,199.7,200.35,29180200,"23,200.50",-0.21,"1,116,680.00",4.768,"25,806.63","28,961.60","1,287.8",56.56
04/03/2019,197.69,201.58,197.69,201.2,27421200,"23,210.00",-0.21,"1,116,680.00",4.762,"25,819.65","28,959.59","1,290.5",56.59
01/03/2019,194.34,198.08,194.04,198.08,15555200,"23,209.00",-0.21,"1,116,680.00",4.762,"26,026.32","28,812.17","1,302.5",55.80
28/02/2019,198.04,199.14,194.01,194.22,26550200,"23,204.00",0.80,"1,116,680.00",4.755,"25,916.00","28,633.18","1,319.4",57.22
27/02/2019,197.49,199.28,196.89,198.01,21486400,"23,199.00",0.80,"1,116,680.00",4.760,"25,985.16","28,757.44","1,325.0",56.94
26/02/2019,196.10,197.98,195.73,197.68,24986200,"23,199.00",0.80,"1,116,680.00",4.769,"26,057.98","28,772.06","1,328.5",55.50
25/02/2019,194.99,197.75,194.27,196.29,22444400,"23,199.50",0.80,"1,116,680.00",4.762,"26,091.95","28,959.30","1,329.5",55.48
22/02/2019,194.78,195.30,193.06,194.80,21921000,"23,198.50",0.80,"1,116,680.00",4.754,"26,031.81","28,816.30","1,332.8",57.26
21/02/2019,193.16,194.83,193.16,193.93,20147100,"23,198.50",0.80,"1,116,680.00",4.711,"25,850.63","28,629.92","1,327.8",56.96
20/02/2019,192.84,194.22,191.02,193.17,17367600,"23,199.50",0.80,"1,116,680.00",4.712,"25,954.44","28,514.05","1,347.9",56.92
19/02/2019,195.23,196.14,192.93,193.03,25153300,"23,198.00",0.80,"1,116,680.00",4.705,"25,891.32","28,228.13","1,344.8",56.09
18/02/2019,193.19,195.71,192.92,195.13,23951900,"23,200.50",0.80,"1,116,680.00",4.702,"19,244.07","28,347.01","1,344.8",56.27
15/02/2019,194.05,194.44,192.84,193.13,20450900,"23,199.00",0.80,"1,116,680.00",4.696,"25,883.25","27,900.84","1,322.1",55.59
14/02/2019,193.5,194.63,193.04,193.84,22153200,"23,200.50",0.80,"1,116,680.00",4.748,"25,439.39","28,432.05","1,313.9",54.41
13/02/2019,192.7,194.3,191.62,193.89,20949000,"23,203.00",0.80,"1,116,680.00",4.782,"25,543.27","28,497.59","1,315.1",53.90
12/02/2019,190.49,192.9,190.19,192.59,22527200,"23,200.00",0.80,"1,116,680.00",4.805,"25,425.76","28,171.33","1,314.0",53.10
11/02/2019,186.74,191.41,186.74,191.41,20975600,"23,199.50",0.80,"1,116,680.00",4.834,"25,053.11","28,143.84","1,311.9",52.41
01/02/2019,186.24,187.17,185.59,187.12,7326400,"23,201.00",0.80,"1,116,680.00",4.868,"25,063.89","27,930.74","1,322.1",55.26
31/01/2019,185.91,187.43,185.64,186.33,12799400,"23,217.00",0.10,"1,116,680.00",4.881,"24,999.67","27,942.47","1,325.2",53.79
30/01/2019,187.75,187.76,185.24,186.27,14063200,"23,210.00",0.10,"1,116,680.00",4.900,"25,014.86","27,642.85","1,315.5",54.23
29/01/2019,185.55,185.9,183.95,185.9,12344300,"23,211.50",0.10,"1,116,680.00",4.895,"24,579.96","27,531.68","1,312.1",53.31
28/01/2019,186.21,186.97,184.52,185.65,16618000,"23,199.00",0.10,"1,116,680.00",4.900,"24,528.22","27,576.96","1,305.9",51.99
25/01/2019,186.04,187.00,184.96,185.84,9873823,"23,199.50",0.10,"1,116,680.00",4.902,"24,737.20","27,569.19","1,300.7",53.69
24/01/2019,181.08,186.15,181.08,185.48,16131700,"23,200.00",0.10,"1,116,680.00",4.908,"24,553.24","27,120.98","1,282.3",53.13
23/01/2019,184.35,185.74,183.95,185.23,9810800,"23,201.50",0.10,"1,116,680.00",4.929,"24,575.62","27,008.20","1,286.8",52.62
22/01/2019,186.47,187.06,184.40,184.47,12961500,"23,202.00",0.10,"1,116,680.00",4.929,"24,404.48","27,005.45","1,285.8",52.57
21/01/2019,182.82,186.57,182.66,186.49,22147418,"23,197.50",0.10,"1,116,680.00",4.940,"19,244.07","27,196.54","1,283.4",54.24
18/01/2019,182.84,183.86,182.18,182.92,14941800,"23,209.00",0.10,"1,116,680.00",4.943,"24,706.35","27,090.81","1,284.8",53.80
